feature,importance
contrast_7,0.14551961206369118
contrast_4,0.13503501170590354
mfcc_3,0.0921276363618507
mfcc_5,0.06241172006901642
mfcc_7,0.057473374180655686
contrast_2,0.0540190167386126
mfcc_15,0.0401321204825471
mfcc_4,0.03867472557421237
mfcc_18,0.03368520644417363
mfcc_11,0.030531665454607428
mfcc_20,0.027504141932853967
mfcc_12,0.027197940937810573
mfcc_8,0.026966976692844043
mfcc_2,0.02693139740938454
mfcc_10,0.02393581003127666
mfcc_13,0.023779287007127132
contrast_6,0.0177079158725329
mfcc_9,0.01712481532262476
rms,0.013825684636196335
mfcc_6,0.013648281296734534
mfcc_17,0.012796577204746475
mfcc_16,0.010819487930664
mfcc_19,0.01070781632812892
mfcc_14,0.010380886995647518
contrast_5,0.009688529725066836
bandwidth,0.00962824074490936
contrast_1,0.00613224401943821
centroid,0.00561287071384336
rolloff,0.004901146398535743
mfcc_1,0.0038884354574908056
contrast_3,0.0038435266050977092
zcr,0.003367897661774914
