parent_file_id,parent_file_name,parent_file_path,tank_id,session_id,recording_start_time,recording_end_time,sensor_type,download_source
2262253854926,LUW1698_20260530_010000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T01:00:00,,audio,box
2262168935027,LUW1698_20260530_011000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T01:10:00,,audio,box
2262179365495,LUW1698_20260530_012000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T01:20:00,,audio,box
2262169048136,LUW1698_20260530_013000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T01:30:00,,audio,box
2262287836677,LUW1698_20260530_014000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T01:40:00,,audio,box
2262303302172,LUW1698_20260530_015000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T01:50:00,,audio,box
2262303750144,LUW1698_20260530_020000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T02:00:00,,audio,box
2262156388541,LUW1698_20260530_021000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T02:10:00,,audio,box
2262245960571,LUW1698_20260530_022000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T02:20:00,,audio,box
2262292102894,LUW1698_20260530_023000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T02:30:00,,audio,box
2262304605270,LUW1698_20260530_024000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T02:40:00,,audio,box
2262242718233,LUW1698_20260530_025000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T02:50:00,,audio,box
2262210937873,LUW1698_20260530_030000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T03:00:00,,audio,box
2262300875285,LUW1698_20260530_031000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T03:10:00,,audio,box
2262246615771,LUW1698_20260530_032000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T03:20:00,,audio,box
2262253383930,LUW1698_20260530_033000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T03:30:00,,audio,box
2262251051971,LUW1698_20260530_034000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T03:40:00,,audio,box
2262299024525,LUW1698_20260530_035000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T03:50:00,,audio,box
2262247727026,LUW1698_20260530_040000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T04:00:00,,audio,box
2262213028073,LUW1698_20260530_041000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T04:10:00,,audio,box
2262223472876,LUW1698_20260530_042000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T04:20:00,,audio,box
2262289610389,LUW1698_20260530_043000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T04:30:00,,audio,box
2262245355718,LUW1698_20260530_044000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T04:40:00,,audio,box
2262250374065,LUW1698_20260530_045000.wav,/Incoming_Data/Trial_1/Tank_1/Tank1_1698_2026029,Tank1,,2026-05-30T04:50:00,,audio,box
